"Audio","A","B","RC","Speaker","Condition"
"all_earl.wav","same","different","B","Isabel","OH-UR"
"bad_bed.wav","same","different","B","Maíra","EH-AE"
"bat_bet.wav","same","different","B","Carolina","EH-AE"
"bat_but.wav","same","different","B","Maíra","AE-WU"
"beat_beat.wav","same","different","A","Katy","i-IH"
"beat_bit.wav","same","different","B","Katy","i-IH"
"called_called.wav","same","different","A","Katy","OH-UR"
"called_curled.wav","same","different","B","Katy","OH-UR"
"cat_cat.wav","same","different","A","Katy","AE-WU"
"cat_cut.wav","same","different","B","Katy","AE-WU"
"cot_caught.wav","same","different","B","Katy","a-OH"
"fill_fell.wav","same","different","B","Maíra","i-EH"
"fool_fool.wav","same","different","A","Katy","u-WU"
"four_far.wav","same","different","B","Carolina","a-OH"
"four_fur.wav","same","different","B","Carolina","OH-UR"
"full_fool.wav","same","different","B","Katy","u-WU"
"gem_gem.wav","same","different","A","Katy","a-AE"
"gem_jam.wav","same","different","B","Katy","a-AE"
"hair_hear.wav","same","different","B","Katy","i-EH"
"head_had.wav","same","different","B","Isabel","EH-AE"
"heart_hat.wav","same","different","B","Maíra","a-AE"
"hill_hell.wav","same","different","B","Isabel","i-EH"
"knee_near.wav","same","different","B","Isabel","i-IH"
"lock_luck.wav","same","different","B","Carolina","a-AH"
"man_men.wav","same","different","B","Katy","EH-AE"
"march_march.wav","same","different","A","Katy","a-AH"
"march_much.wav","same","different","B","Katy","a-AH"
"men_men.wav","same","different","A","Carolina","EH-AE"
"not_note.wav","same","different","B","Carolina","a-WU"
"pull_pool.wav","same","different","B","Carolina","u-WU"
"sheep_ship.wav","same","different","B","Carolina","i-IH"
"shot_short.wav","same","different","A","Isabel","a-OH"
"soap_soup.wav","same","different","B","Isabel","u-WU"
"walkout_workout.wav","same","different","B","Maíra","OH-UR"
"want_want.wav","same","different","A","Katy","a-WU"
"want_wont.wav","same","different","B","Katy","a-WU"
"watch_what.wav","same","different","B","Maíra","a-AH"
"bad_i_1.wav","bad","bed","A","Isabel","EH-AE"
"bed_c_2.wav","bad","bed","B","Carolina","EH-AE"
"bed_i_1.wav","bad","bed","B","Isabel","EH-AE"
"called_m_1.wav","called","curled","A","Maíra","OH-UR"
"caught_c_2.wav","caught","cot","A","Carolina","a-OH"
"cost_c_1.wav","cost","coast","A","Carolina","a-WU"
"cot_c_2.wav","caught","cot","B","Carolina","a-OH"
"curled_m_1.wav","curled","called","A","Maíra","OH-UR"
"fool_c_1.wav","full","fool","B","Carolina","u-WU"
"full_c_1.wav","fool","full","B","Carolina","u-WU"
"gem_i_1.wav","gem","jam","A","Isabel","a-AE"
"gem_k_1.wav","jam","gem","B","Katy","a-AE"
"had_m_1.wav","head","had","B","Maíra","EH-AE"
"hat_i_1.wav","hat","heart","A","Isabel","a-AE"
"head_m_1.wav","had","head","B","Maíra","EH-AE"
"heart_m_1.wav","heart","hat","A","Maíra","a-AE"
"jam_i_1.wav","gem","jam","B","Isabel","a-AE"
"jam_k_1.wav","jam","gem","A","Katy","a-AE"
"knee_m_1.wav","near","knee","B","Maíra","i-IH"
"lock_c_2.wav","lock","luck","A","Carolina","a-AH"
"look_k_1.wav","luck","look","B","Katy","WU-AH"
"near_m_1.wav","near","knee","A","Maíra","i-IH"
"pool_k_1.wav","pull","pool","B","Katy","u-WU"
"pull_k_1.wav","pull","pool","A","Katy","u-WU"
"sheep_i_1.wav","sheep","ship","A","Isabel","i-IH"
"ship_i_1.wav","sheep","ship","B","Isabel","i-IH"
"short_m_1.wav","short","shot","A","Maíra","a-OH"
"shot_m_1.wav","short","shot","B","Maíra","a-OH"
"walkout_k_1.wav","walkout","workout","A","Katy","OH-UR"
"want_i_1.wav","won't","want","B","Isabel","a-WU"
"wont_i_1.wav","won't","want","A","Isabel","a-WU"
"workout_k_1.wav","walkout","workout","B","Katy","OH-UR"
