Audio_d,A,B,RC_d,Fon_d,Audio_i,RC_i,Fon_i
all_k_1.wav,all,earl,all,,all_all.wav,same,
bad_k_1.wav,bad,bed,bad,,all_earl.wav,different,
bat_k_1.wav,bat,bet,bat,,bad_bad.wav,same,
beat_k_1.wav,beat,bit,beat,,bad_bed.wav,different,
bed_k_1.wav,bad,bed,bed,,bad_bad.wav,same,
bet_k_1.wav,bat,bet,bet,,bad_bed.wav,different,
bit_k_1.wav,beat,bit,bit,,bat_bat.wav,same,
but_k_1.wav,bat,but,but,,bat_bet.wav,different,
called_k_1.wav,called,curled,called,,bat_but.wav,different,
can_k_1.wav,can,car,can,,beat_beat.wav,same,
cap_k_1.wav,cup,cap,cap,,beat_bit.wav,different,
caught_k_1.wav,cot,caught,caught,,bed_bed.wav,same,
coast_k_1.wav,cost,coast,coast,,bet_bet.wav,same,
coat_k_1.wav,coat,caught,coat,,bit_bit.wav,same,
cost_k_1.wav,coast,cost,cost,,called_called.wav,same,
cot_k_1.wav,cot,caught,cot,,called_curled.wav,different,
cup_k_1.wav,cap,cup,cup,,cap_cap.wav,same,
curled_k_1.wav,curled,called,curled,,cap_cup.wav,different,
cut_k_1.wav,cat,cut,cut,,car_can.wav,different,
earl_k_1.wav,earl,all,earl,,cat_cat.wav,same,
far_k_1.wav,four,far,far,,cat_cut.wav,different,
fell_k_1.wav,fell,fill,fell,,caught_caught.wav,same,
fill_k_1.wav,fell,fill,fill,,cost_coast.wav,different,
fool_k_1.wav,fool,full,fool,,cost_cost.wav,same,
four_k_1.wav,fur,four,four,,cot_caught.wav,different,
gem_k_1.wav,jam,gem,gem,,far_far.wav,same,
had_k_1.wav,head,had,had,,far_four.wav,different,
hair_k_1.wav,hear,hair,hair,,fell_fill.wav,different,
hard_k_1.wav,head,hard,hard,,fill_fill.wav,same,
hat_k_1.wav,heart,hat,hat,,fool_fool.wav,same,
head_k_1.wav,head,had,head,,four_four.wav,same,
hear_k_1.wav,hair,hear,hear,,full_fool.wav,different,
heart_k_1.wav,heart,hat,heart,,full_full.wav,same,
hell_k_1.wav,hill,hell,hell,,fur_four.wav,different,
hill_k_1.wav,hell,hill,hill,,gem_gem.wav,same,
hotter_k_1.wav,hotter,hutter,hotter,,gem_jam.wav,different,
hutter_k_1.wav,hutter,hotter,hutter,,had_had.wav,same,
jam_k_1.wav,gem,jam,jam,,had_head.wav,different,
knee_k_1.wav,near,knee,knee,,hair_hear.wav,different,
letters_k_1.wav,litters,letters,letters,,hard_head.wav,different,
litters_k_1.wav,litters,letters,litters,,head_head.wav,different,
lock_k_1.wav,luck,lock,lock,,heart_hat.wav,different,
look_k_1.wav,luck,look,look,,heart_heart.wav,same,
luck_k_1.wav,look,luck,luck,,hell_hill.wav,different,
man_k_1.wav,men,man,man,,hotter_hotter.wav,same,
march_k_1.wav,march,much,march,,hotter_hutter.wav,different,
men_k_1.wav,men,man,men,,jam_jam.wav,same,
much_k_1.wav,much,march,much,,knee_knee.wav,same,
near_k_1.wav,knee,near,near,,letters_litters.wav,different,
not_k_1.wav,note,not,not,,lock_luck.wav,different,
note_k_1.wav,note,not,note,,look_luck.wav,different,
pool_k_1.wav,pull,pool,pool,,man_man.wav,same,
port_k_1.wav,pot,port,port,,man_men.wav,different,
pot_k_1.wav,pot,port,pot,,march_march.wav,same,
pull_k_1.wav,pull,pool,pull,,march_much.wav,different,
sheep_k_1.wav,sheep,ship,sheep,,men_men.wav,same,
ship_k_1.wav,ship,sheep,ship,,near_knee.wav,different,
short_k_1.wav,shot,short,short,,not_not.wav,same,
shot_k_1.wav,shot,short,shot,,not_note.wav,different,
soap_k_1.wav,soup,soap,soap,,pool_pool.wav,same,
soup_k_1.wav,soup,soap,soup,,pool_pull.wav,different,
walkout_k_1.wav,walkout,workout,walkout,,port_pot.wav,different,
want_k_1.wav,won't,want,want,,pot_pot.wav,same,
watch_k_1.wav,what,watch,watch,,sheep_sheep.wav,same,
what_k_1.wav,what,watch,what,,sheep_ship.wav,different,
wont_k_1.wav,want,won't,won't,,ship_ship.wav,same,
workout_k_1.wav,walkout,workout,workout,,soap_soup.wav,different,
,,,,,walkout_walkout.wav,same,
,,,,,walkout_workout.wav,different,
,,,,,want_want.wav,same,
,,,,,want_wont.wav,different,
,,,,,watch_what.wav,different,
,,,,,what_what.wav,same,
