Audio_d,A,B,RC
all_k_1.wav,all,earl,all
bad_k_1.wav,bad,bed,bad
bat_k_1.wav,bat,bet,bat
beat_k_1.wav,beat,bit,beat
bed_k_1.wav,bad,bed,bed
bet_k_1.wav,bat,bet,bet
bit_k_1.wav,beat,bit,bit
but_k_1.wav,bat,but,but
called_k_1.wav,called,curled,called
can_k_1.wav,can,car,can
cap_k_1.wav,cup,cap,cap
caught_k_1.wav,cot,caught,caught
coast_k_1.wav,cost,coast,coast
coat_k_1.wav,coat,caught,coat
cost_k_1.wav,coast,cost,cost
cot_k_1.wav,cot,caught,cot
cup_k_1.wav,cap,cup,cup
curled_k_1.wav,curled,called,curled
cut_k_1.wav,cat,cut,cut
earl_k_1.wav,earl,all,earl
far_k_1.wav,four,far,far
fell_k_1.wav,fell,fill,fell
fill_k_1.wav,fell,fill,fill
fool_k_1.wav,fool,full,fool
four_k_1.wav,fur,four,four
gem_k_1.wav,jam,gem,gem
had_k_1.wav,head,had,had
hair_k_1.wav,hear,hair,hair
hard_k_1.wav,head,hard,hard
hat_k_1.wav,heart,hat,hat
head_k_1.wav,head,had,head
hear_k_1.wav,hair,hear,hear
heart_k_1.wav,heart,hat,heart
hell_k_1.wav,hill,hell,hell
hill_k_1.wav,hell,hill,hill
hotter_k_1.wav,hotter,hutter,hotter
hutter_k_1.wav,hutter,hotter,hutter
jam_k_1.wav,gem,jam,jam
knee_k_1.wav,near,knee,knee
letters_k_1.wav,litters,letters,letters
litters_k_1.wav,litters,letters,litters
lock_k_1.wav,luck,lock,lock
look_k_1.wav,luck,look,look
luck_k_1.wav,look,luck,luck
man_k_1.wav,men,man,man
march_k_1.wav,march,much,march
men_k_1.wav,men,man,men
much_k_1.wav,much,march,much
near_k_1.wav,knee,near,near
not_k_1.wav,note,not,not
note_k_1.wav,note,not,note
pool_k_1.wav,pull,pool,pool
port_k_1.wav,pot,port,port
pot_k_1.wav,pot,port,pot
pull_k_1.wav,pull,pool,pull
sheep_k_1.wav,sheep,ship,sheep
ship_k_1.wav,ship,sheep,ship
short_k_1.wav,shot,short,short
shot_k_1.wav,shot,short,shot
soap_k_1.wav,soup,soap,soap
soup_k_1.wav,soup,soap,soup
walkout_k_1.wav,walkout,workout,walkout
want_k_1.wav,won't,want,want
watch_k_1.wav,what,watch,watch
what_k_1.wav,what,watch,what
wont_k_1.wav,want,won't,won't
workout_k_1.wav,walkout,workout,workout
all_all.wav,SAME,DIFFERENT,same
all_earl.wav,DIFFERENT,SAME,different
bad_bad.wav,SAME,DIFFERENT,same
bad_bed.wav,DIFFERENT,SAME,different
bad_bad.wav,SAME,DIFFERENT,same
bad_bed.wav,DIFFERENT,SAME,different
bat_bat.wav,SAME,DIFFERENT,same
bat_bet.wav,DIFFERENT,SAME,different
bat_but.wav,SAME,DIFFERENT,different
beat_beat.wav,DIFFERENT,SAME,same
beat_bit.wav,SAME,DIFFERENT,different
bed_bed.wav,DIFFERENT,SAME,same
bet_bet.wav,SAME,DIFFERENT,same
bit_bit.wav,DIFFERENT,SAME,same
called_called.wav,SAME,DIFFERENT,same
called_curled.wav,DIFFERENT,SAME,different
cap_cap.wav,SAME,DIFFERENT,same
cap_cup.wav,DIFFERENT,SAME,different
car_can.wav,SAME,DIFFERENT,different
cat_cat.wav,DIFFERENT,SAME,same
cat_cut.wav,SAME,DIFFERENT,different
caught_caught.wav,DIFFERENT,SAME,same
cost_coast.wav,SAME,DIFFERENT,different
cost_cost.wav,DIFFERENT,SAME,same
cot_caught.wav,SAME,DIFFERENT,different
far_far.wav,DIFFERENT,SAME,same
far_four.wav,SAME,DIFFERENT,different
fell_fill.wav,DIFFERENT,SAME,different
fill_fill.wav,SAME,DIFFERENT,same
fool_fool.wav,DIFFERENT,SAME,same
four_four.wav,SAME,DIFFERENT,same
full_fool.wav,DIFFERENT,SAME,different
full_full.wav,SAME,DIFFERENT,same
fur_four.wav,DIFFERENT,SAME,different
gem_gem.wav,SAME,DIFFERENT,same
gem_jam.wav,DIFFERENT,SAME,different
had_had.wav,SAME,DIFFERENT,same
had_head.wav,DIFFERENT,SAME,different
